一级分类,二级分类,三级分类,商品id,好评数
16750,16755,16806,1658323800,3900
16750,16755,16806,10067576870640,200
16750,16755,16806,10056476099271,200
16750,16755,16806,10054507512486,300
16750,16755,16806,100045091525,1400
16750,16755,16806,50018636339,1800
16750,16755,16806,10035026313729,2300
16750,16755,16806,5981541,5300
16750,16755,16806,1053201047,40000
16750,16755,16806,100020829539,5400
16750,16755,16806,55265631098,300
16750,16755,16806,10048996524707,600
16750,16755,16806,10042323804707,600
16750,16755,16806,10042162364838,10000
16750,16755,16806,10036321131803,200
16750,16755,16806,10038712034290,4100
16750,16755,16806,100052008864,1500
16750,16755,16806,10044929219963,800
16750,16755,16806,27856490289,2600
16750,16755,16806,10047774327286,400
16750,16755,16806,10034095130996,300
16750,16755,16806,10024806363746,200
16750,16755,16806,10071576998713,20
16750,16755,16806,100028368490,4300
16750,16755,16806,100058067141,9
16750,16755,16806,100023218453,3200
16750,16755,16806,10073250287824,700
16750,16755,16806,10072976550598,20
16750,16755,16806,55776351710,1600
16750,16755,16806,10044471129985,200
16750,16755,16806,1600868616,700
16750,16755,16806,10058178473366,50
16750,16755,16806,10021134530641,5300
16750,16755,16806,100043283737,600
16750,16755,16806,10070437602235,100
16750,16755,16806,10026581529546,800
16750,16755,16806,10051898629302,100
16750,16755,16806,10069673116661,1200
16750,16755,16806,1020414242,2200
16750,16755,16806,100032615662,8600
16750,16755,16806,10042214543669,1200
16750,16755,16806,34760240479,200
16750,16755,16806,10025077270738,400
16750,16755,16806,100030379531,300
16750,16755,16806,100023218455,300
16750,16755,16806,25342777403,900
16750,16755,16806,10057428402902,600
16750,16755,16806,1518617523,7800
16750,16755,16806,28975194113,6400
16750,16755,16806,100046273721,200
16750,16755,16806,10048147794595,5600
16750,16755,16806,10048723563612,7
16750,16755,16806,55647726326,1000
16750,16755,16806,10034632746483,800
16750,16755,16806,100044402305,25000
16750,16755,16806,100050746695,900
16750,16755,16806,10064565780178,400
16750,16755,16806,100034486396,900
16750,16755,16806,1020402203,3100
16750,16755,16806,10051377844400,100
16750,16755,16806,100040967405,100
16750,16755,16806,5309653,4900
16750,16755,16806,10043978171928,2200
16750,16755,16806,72049465783,1400
16750,16755,16806,100051583644,80
16750,16755,16806,100016655698,4900
16750,16755,16806,10071577968907,3
16750,16755,16806,2930188,430000
16750,16755,16806,71542794494,3700
16750,16755,16806,100039734985,200
16750,16755,16806,100045096419,700
16750,16755,16806,10195943504,16000
16750,16755,16806,100042288153,400
16750,16755,16806,100057031359,10
16750,16755,16806,10023140903783,900
16750,16755,16806,1361191943,4200
16750,16755,16806,10043653151646,500
16750,16755,16806,100048099596,300
16750,16755,16806,10049926340573,600
16750,16755,16806,23214200102,800
16750,16755,16806,10068207989074,1100
16750,16755,16806,1634621217,1600
16750,16755,16806,10048041739960,100
16750,16755,16806,10061055990205,300
16750,16755,16806,10051887878223,2300
16750,16755,16806,10071549276620,100
16750,16755,16806,10071444373174,7
16750,16755,16806,10053099826133,600
16750,16755,16806,100014342967,1800
16750,16755,16806,10027406936199,1900
16750,16755,16806,10059183799555,600
16750,16755,16806,68458072054,300
16750,16755,16806,10073086861242,100
16750,16755,16806,100029135731,24000
16750,16755,16806,100036244500,8600
16750,16755,16806,10047698056309,100
16750,16755,16806,10063946877926,200
16750,16755,16806,100028911647,50
16750,16755,16806,10070899858047,20
16750,16755,16806,10044455871761,1500
16750,16755,16806,100004730555,110000
16750,16755,16806,10059374147553,400
16750,16755,16806,100042160973,100
16750,16755,16806,10020189622940,4300
16750,16755,16806,1658352110,1200
16750,16755,16806,100052121242,20
16750,16755,16806,67151816458,2400
16750,16755,16806,10073646890293,4
16750,16755,16806,32950288720,1700
16750,16755,16806,10067819261671,8300
16750,16755,16806,10065654962124,200
16750,16755,16806,35472001705,3200
16750,16755,16806,10059909224331,90
16750,16755,16806,10067256715300,100
16750,16755,16806,100054587555,100
16750,16755,16806,10064561911998,200
16750,16755,16806,10071697193097,90
16750,16755,16806,100050649990,50
16750,16755,16806,29186949904,4200
16750,16755,16806,10052584807129,300
16750,16755,16806,1986847091,3500
16750,16755,16806,28715155653,2000
16750,16755,16806,100051272201,100
16750,16755,16806,10067443576137,500
16750,16755,16806,10054319614599,400
16750,16755,16806,100038693897,300
16750,16755,16806,43726327698,900
16750,16755,16806,10026222373394,22000
16750,16755,16806,10031866090162,400
16750,16755,16806,55229221114,2100
