名次,电影名称,票房,总场次,人次,票价(元)
104,狼图腾,http://img.58921.com/sites/all/movie/files/protec/c8f930ae268978abcbd0d7cf00a657b5.png,14.14万,685.84万,49.9
105,愤怒的小鸟,http://img.58921.com/sites/all/movie/files/protec/11b7ad1bb9010b850cd4443127b5dd48.png,32.04万,789.58万,42.8
106,大闹天竺,http://img.58921.com/sites/all/movie/files/protec/03e694e5677a44e4c671db8db0f6c770.png,19.28万,890.2万,37.1
107,逆时营救,http://img.58921.com/sites/all/movie/files/protec/1a1c635704f3993fbb2c95d1a9a07cba.png,26.25万,941.66万,35
108,使徒行者,http://img.58921.com/sites/all/movie/files/protec/c06f04e7e5ac5c7e37af6f773fa035b4.png,27.77万,878.83万,37.1
109,星际穿越,http://img.58921.com/sites/all/movie/files/protec/c06f04e7e5ac5c7e37af6f773fa035b4.png,13.56万,726.84万,44.8
110,心花路放,http://img.58921.com/sites/all/movie/files/protec/687c992b0495653d9b29ae8b8d662d37.png,15.17万,766.89万,42.3
111,奇异博士,http://img.58921.com/sites/all/movie/files/protec/c0c56ee5f6185b62f55e25101666d89e.png,36.26万,792.48万,40.5
112,小黄人大眼萌,http://img.58921.com/sites/all/movie/files/protec/ffa209927b84e35488f13775e6c9624e.png,24.15万,698.38万,45.6
113,熊出没·原始时代,http://img.58921.com/sites/all/movie/files/protec/5e983094f158fcb1fad997d10ce79f52.png,24.48万,761.57万,41.7
114,摩天营救,http://img.58921.com/sites/all/movie/files/protec/eeae47b1fa52ca74f61672ed3d7f0afb.png,29.57万,865.9万,36.5
115,极限特工：终极回归,http://img.58921.com/sites/all/movie/files/protec/6f5ed1151d4d15b9d467e6096e74e847.png,34.05万,802.51万,38.9
116,大鱼海棠,http://img.58921.com/sites/all/movie/files/protec/fcae8a0d82503a777af863aa9fb8aba8.png,23.65万,712.95万,43.3
117,乘风破浪,http://img.58921.com/sites/all/movie/files/protec/afd01a857f4653516b8a56ee247eae17.png,29.05万,824.81万,37.4
118,古墓丽影：源起之战,http://img.58921.com/sites/all/movie/files/protec/afd01a857f4653516b8a56ee247eae17.png,27.44万,860.39万,35.8
119,惊天魔盗团2,http://img.58921.com/sites/all/movie/files/protec/3f9dbbc3ca64395020d86a61fc88c4e7.png,25.02万,696.68万,43.9
120,哥斯拉2：怪兽之王,http://img.58921.com/sites/all/movie/files/protec/4c9f56b380f33c30cfccacf2a3430121.png,50.31万,801.55万,38
121,无名之辈,http://img.58921.com/sites/all/movie/files/protec/fcdba4080c0211e000e17d7f8c122755.png,42.58万,856.28万,35.5
122,超能陆战队,http://img.58921.com/sites/all/movie/files/protec/bc42276f9f52ff978f208f0f1a730f98.png,16.5万,633.59万,47.7
123,父子雄兵,http://img.58921.com/sites/all/movie/files/protec/5d2aecda6a84cc79c946a94575c7ebba.png,21.1万,864.29万,34.8
124,末日崩塌,http://img.58921.com/sites/all/movie/files/protec/897f53f6f635e73ee580ab2be8605051.png,21.34万,652.03万,46
